enddate,pollster,grade,approve,week
2017-01-22,Morning Consult,B/C,46,1703
2017-01-22,Gallup,B,45,1703
2017-01-24,Ipsos,B-,42.1,1704
2017-01-23,Gallup,B,45,1704
2017-01-24,Gallup,B,46,1704
2017-01-25,Ipsos,B-,42.3,1704
2017-01-24,Rasmussen Reports/Pulse Opinion Research,C+,57,1704
2017-01-25,Quinnipiac University,B+,36,1704
2017-01-25,YouGov,B,41,1704
2017-01-25,Gallup,B,46,1704
2017-01-24,Public Policy Polling,B,44,1704
2017-01-25,Rasmussen Reports/Pulse Opinion Research,C+,59,1704
2017-01-26,Ipsos,B-,42.6,1704
2017-01-26,Gallup,B,45,1704
2017-01-27,Ipsos,B-,44.5,1704
2017-01-26,Rasmussen Reports/Pulse Opinion Research,C+,55,1704
2017-01-27,Gallup,B,42,1704
2017-01-28,Ipsos,B-,45.4,1704
2017-01-29,Ipsos,B-,48.2,1704
2017-01-28,Morning Consult,B/C,49,1704
2017-01-28,Gallup,B,42,1704
2017-01-29,Rasmussen Reports/Pulse Opinion Research,C+,53,1704
2017-01-30,Rasmussen Reports/Pulse Opinion Research,C+,51,1705
2017-01-30,Ipsos,B-,46.8,1705
2017-01-30,SurveyMonkey,D-,48,1705
2017-01-29,Gallup,B,43,1704
2017-01-31,Ipsos,B-,45.3,1705
2017-01-30,Gallup,B,43,1705
2017-01-31,Gallup,B,43,1705
2017-01-31,Rasmussen Reports/Pulse Opinion Research,C+,53,1705
2017-02-01,Ipsos,B-,45,1705
2017-02-02,IBD/TIPP,A/B,42,1705
2017-01-31,YouGov,B,43,1705
2017-02-02,Ipsos,B-,45.3,1705
2017-02-01,Rasmussen Reports/Pulse Opinion Research,C+,53,1705
2017-01-31,Public Policy Polling,B,47,1705
2017-02-01,Gallup,B,43,1705
2017-02-03,Ipsos,B-,44.9,1705
2017-02-02,CNN/Opinion Research Corp.,B+,44,1705
2017-02-02,Rasmussen Reports/Pulse Opinion Research,C+,54,1705
2017-02-02,Gallup,B,43,1705
2017-02-03,Gallup,B,44,1705
2017-02-05,SurveyMonkey,D-,46,1705
2017-02-04,Ipsos,B-,45.2,1705
2017-02-02,CBS News,A,40,1705
2017-02-04,Morning Consult,B/C,48,1705
2017-02-04,YouGov,B,43,1705
2017-02-05,Ipsos,B-,47.5,1705
2017-02-04,Zogby Analytics,C+,47,1705
2017-02-04,Gallup,B,42,1705
2017-02-05,Rasmussen Reports/Pulse Opinion Research,C+,53,1705
2017-02-06,Ipsos,B-,47.1,1706
2017-02-06,Quinnipiac University,B+,42,1706
2017-02-06,Rasmussen Reports/Pulse Opinion Research,C+,53,1706
2017-02-05,Gallup,B,42,1705
2017-02-05,YouGov,B,43,1705
2017-02-06,McLaughlin & Associates,C/D,48,1706
2017-02-06,YouGov,B,41,1706
2017-02-07,Ipsos,B-,47.5,1706
2017-02-06,Gallup,B,42,1706
2017-02-08,Ipsos,B-,47.5,1706
2017-02-07,Rasmussen Reports/Pulse Opinion Research,C+,53,1706
2017-02-07,YouGov,B,41,1706
2017-02-06,Emerson College,A-,48.1,1706
2017-02-07,YouGov,B,40,1706
2017-02-07,Gallup,B,43,1706
2017-02-08,Rasmussen Reports/Pulse Opinion Research,C+,53,1706
2017-02-08,YouGov,B,39,1706
2017-02-08,Gallup,B,43,1706
2017-02-09,Ipsos,B-,47.8,1706
2017-02-09,Gallup,B,42,1706
2017-02-08,Public Policy Polling,B,43,1706
2017-02-10,Ipsos,B-,46.7,1706
2017-02-09,YouGov,B,41,1706
2017-02-09,Rasmussen Reports/Pulse Opinion Research,C+,52,1706
2017-02-10,Gallup,B,41,1706
2017-02-12,SurveyMonkey,D-,46,1706
2017-02-11,Ipsos,B-,46.7,1706
2017-02-12,Ipsos,B-,46.3,1706
2017-02-12,Rasmussen Reports/Pulse Opinion Research,C+,52,1706
2017-02-12,Pew Research Center,B/C,39,1706
2017-02-10,Morning Consult,B/C,49,1706
2017-02-11,Gallup,B,40,1706
2017-02-13,Rasmussen Reports/Pulse Opinion Research,C+,52,1707
2017-02-12,YouGov,B,40,1706
2017-02-12,Gallup,B,40,1706
2017-02-13,Ipsos,B-,46.3,1707
